Data da opinião,Nota,Título,Conteúdo
out. de 2022,5,"Super recomendo, pousada excelente!","A pousada é incrível. Os colaboradores muito educados e solícitos. A limpeza em toda a pousada é impecável. Os quartos são limpos todos os dias O café da manhã simplesmente perfeito, todo dia com produtos deliciosos, a maioria preparada na própria pousada. Como tínhamos alguns passeios bem cedo, nos liberaram o café mais cedo, o que não acontece em outras pousadas que já fiquei. A rua é calma, então conseguimos descansar bem, depois dos passeios. Vale super a hospedagem na Boro!"
out. de 2022,4,Escrevemos aqui alguns pontos positivos e outros negativos com sugestões de melhorias para conquistarem o topo ranking,"Localização privilegiada,silenciosa,fácil acesso; Funcionários atenciosos, café da manhã delicioso,parquinho para as crianças legal e com uma fonte com peixinhos que a criançada adorou.O que poderia melhorar: uma das camas de solteiro fazia alguns ruídos; poderia ter um TV em frente às camas de solteiro ao invés de uma próximo a lareira ; saia um cheiro estranho próximo a lareira;o tipo de Box do chuveiro poderia ser diferente, acaba saindo um pouco de água acumulando próximo ao vaso sanitário. Não tinha mais suco disponível para comprarmos para as crianças."
out. de 2022,5,Viagem em família,"Excelente pousada tudo perfeito , tivemos dias incríveis, fomos muito bem recebidos , atendimento nota mil. Café da manhã maravilhoso. Ótima localização Atendimento sem igual , todos muitos simpáticos e prestativos."
out. de 2022,5,Pousada Maravilhosa...café da manhã inesquecível!!!,"Pousada maravilhosa!!!Tudo muito limpo, organizado, lindo...sem contar o café da manhã, não esqueceremos jamais, tudo muito delicioso, farto e organizado. O atendimento da pousada é perfeito, todos são muito atenciosos e com muita simpatia. Vou sentir muita falta de tudo, indico de olhos fechados e se Deus quiser um dia voltarei a Gramado e com certeza estarei aí na pousada Boro. Parabéns e obrigada pela estadia perfeita!!!"
out. de 2022,5,Excelente,"Atendimento atencioso e cortês, pousada aconchegante e muito cheirosa. Café da manhã excelente e bastante diverso, cama macia e quentinha. Ótima localização, próximo dos principais parques e atrações."
out. de 2022,5,qualidade em atendimento e em aconchego,"foi o segundo ano que vamos para gramado e nos hospedamos na Pousada Borô, e sem dúvudas foi a melhor escolha por nois anos consecutivos! o padrão de qualidade só se intensificou de um ano para o outro, desde as acomodações extremamente aconchegantes, com amenidades e tudo muito bem organizado e o quarto cheiroso, as primeiras impressões já nos encantam, o atendimento gentil e carinhoso nos fideliza porque um local que somos tratados com tanto respeito e afeto nos faz voltar outra vez e já estou contando os dias para o retorno, foi mais uma vez uma experiência inovadora e especial, muito obrigado por nos proporcionar momentos que jamais sairão das nossas memórias!"
out. de 2022,5,"Incrível, tudo maravilhoso!","Lugar aconchegante, tudo bonito e organizado. Café da manhã com bastante variedade e tudo muito bom. Amei o quarto e os detalhes dele. Atendimento excelente, me auxiliaram com a minha reserva e me atenderam muito bem. Os funcionários todos muito simpáticos e educados."
out. de 2022,5,Atendimento impecável,"Fiquei hospedada durante minha viagem de lua de mel, quarto muito bonito, com a limpeza impecável e atendimento excelente de todos os colaboradores do local. Todos solícitos, simpáticos e muito proativos."
out. de 2022,5,Felizes na Pousada Borô,"Pousada maravilhosa, quartos amplos e muito aconchegantes, café da manhã farto e variado com delícias da Serra Gaúcha. A atenção dos proprietários e funcionários com os hóspedes é de outra coisa a ser enaltecida. Extremamente educados e solícitos. Já é a segunda vez que nos hospedamos, e com certeza voltaremos. Obrigado a todos, e que Deus os iluminem sempre!!!❤️🙏"
out. de 2022,5,Bem localizado e ótimo tratamento!,"Atendimento excelente da pousada e com ótimas indicações de restaurantes para ir na cidade! O café da manhã é ótimo também, com variedade de comidas todos os dias. O quarto era ótimo também e recém reformado!"
out. de 2022,5,"A pousada é top, muito boa,","Local muito aconchegante,e muito bonito,os atendentes muito atenciosos, educados e gentis,aliás todos os profissionais são muito bons! Lugar sempre muito limpo e organizado O lugar é maravilhoso,super recomendo!!!!"
set. de 2022,5,"Melhor pousada, maravilhosa!!!!!","Segunda vez que fico na Pousada, e sem dúvidas ficaremos outras vezes...! Funcionários educados, simpáticos e prestativos! Estrutura maravilhosa, quartos aconchegantes, limpos e quentinhos! Área externa linda, espaço incrível! Amamos!"
set. de 2022,5,Colecionando momentos,"Escolha perfeita desde a pousada funcionários capacitados para nós receber, limpeza,organização, negociação, atendimento, em tudo nota 1000. Lugar que escolhi para comemorar meus 5 anos de casados. BODAS DE Madeira Fui, recomendo e voltarei em breve Com carinho Kelcy &Thiago."
set. de 2022,5,Pousada super agradável!,"A estadia foi maravilhosa! A começar pela recepção que foram super solícitos, visto que estava tendo evento empresarial na cidade e nos colocaram em um quarto superior ao da nossa reserva. A temperatura do lado de fora estava muito baixa, mas no quarto estava super quentinho e confortável. E o café da manhã excelente!! Voltaremos com certeza!"
set. de 2022,5,Excelente,"Ótimo lugar, foi uma estadia rápida, mas muito confortável, fomos bem recebidos, lugar bem silencioso e também tem um ótimo café da manhã, com certeza iremos voltar mais vezes. Fica também bem localizado."
set. de 2022,5,Excelente Pousada,"Não poderia ter sido melhor. Quarto aquecido, café da manhã extraordinário. A educação e gentileza de todo staff da pousada. Tudo de muito bom gosto e qualidade que nos ofertaram, em total consonância com a qualidade de absolutamente tudo na cidade de Gramado. Parabéns!"
set. de 2022,5,Férias,"Excelente atendimento, tudo perfeito, café da manhã de altíssima qualidade, quarto excepcional, limpeza e higienização impecáveis. Profissionais de altíssima qualidade. Ambiente tranquilo para relaxar nas dependências da pousada"
set. de 2022,5,Viagem em família.,"Pousada simplesmente encantadora, super aconchegante, quarto quentinho, cheiroso, café da manhã delicioso...muito bem localizada e um ótimo custo benefício. Certamente nos hospedaremos novamente em outra oportunidade."
set. de 2022,5,Excelente,"Nossa estadia na pousada foi ótima, Quartos e banheiros muito limpos, café da manhã excelente, ambiente geral e pessoas muito agradáveis. Localizada próximo do centro. Adorei, com certeza vou voltar."
set. de 2022,5,Fantástica!,"Olá, eu e meu esposo estivemos hospedados 7 dias na pousada Borô e foram 7 dias maravilhosos! Trabalhamos com turismo e conhecemos a estrutura da pousada para eventuais recebimentos de grupos e a pousada é nossa 10! Quarto aconchegante, todos os dias que saímos quando chegamos o quarto estava limpinho e cheiroso, cuidado com casinha de vó! Café da manhã delicioso e o atendimento é um show a parte, todos os funcionários muito bem preparados e extremamente simpáticos! A pousada é localizada meio termo tanto para o centro de Gramado quando para centro de Canela ou seja localização ótima! Se hospedem na pousada Borô que não vão se arrepender! Nós amamos e voltaremos sempre que pudermos!"
set. de 2022,5,Maravilhosa.,"Pousada maravilhosa! Ambiente aconchegante, funcionários simpáticos e prestativos. As acomodações são rústicas e luxuosas. É tudo muito perfeito. Zero defeitos. Pretendo retornar em breve! Amei os momentos passados lá."
set. de 2022,5,Belíssima pousada,"Belíssima pousada, com ótimo atendimento. O café da manhã é fantástico, quarto com limpeza impecável e muito confortável. O aquecimento deixa o quarto muito aconchegante. Gostamos muito da experiência."
set. de 2022,5,Pefeito!!!!!,Amamos no hospedar lá. Equipe super atenciosa. Café da manhã excelente. Fácil localização. Pátio para as crianças com natureza. E ainda o quarto tinha uma lareira super agradável onde as crianças fizeram fogo no dia frio. Parabéns.....
set. de 2022,5,Super recomendo,"Lugar lindo e aconchegante. Café da manhã é maravilhoso, com muita variedade de delícias, os recepcionistas muitos simpáticos. Quarto limpo e tudo em perfeito estado! Chuveiros e aquecimento perfeito! Pousada é bem localizada."
set. de 2022,5,LUGAR PERFEITO E ACONCHEGANTE!,"lugar excepcional, tudo muito limpo e bem organizado , excelente atendimento. a pousada conta c preparos excelentes para o rigoroso inverno. café da manhã muito gostoso e com bastante variedades. nota 1000 ..."
set. de 2022,5,pousada maravilhosa,"adoramos demais, café da manha maravilhoso, limpeza ótima, quarto lindo e aconchegante, voltaremos com certeza ano que vem, as pessoas q trabalham na pousada sao muito gentis educados adoramos demais vale super a pena."
set. de 2022,5,Maravilhosa,"Tudo nela é excelente! Quarto super aconchegante e confortável. Café da manhã maravilhoso! Todo o pessoal da pousada muito simpático e solícito. Ficamos na suíte deluxe, que achei ótimo. Há suítes com banheiras que devem ser ainda melhores. Recomendo!"
set. de 2022,5,Pousada Excelente,"Pousada sensacional. Ambiente muito bom,organizado,limpo e agradável, pessoal da Recepção muito prestativos. Café sensacional, de muitas variedades. O lugar muito lindo de ótima localização. Com certeza voltaremos."
set. de 2022,4,Viagem Casal,"A Pousada é linda, ficamos no Quarto Queen, muito espaçoso, limpeza e organização impecável. Fomos muito bem atendidos em tudo que precisamos. Superou nossas expectativas, e com certeza recomendo. Parabéns."
set. de 2022,5,Belo passeio,A minha família. Vicente agradece a família. Borô pelo alto padrão de atendimento. Da recepção ao café. Da chegada a saída. Quartos limpos e cheirosos. Certamente que a minha familia voltará ..... Obs: ao chegar na recepção fomos informados que nossos quartos já estavam a espera com o calor do AR. Temperatura excelente. Obrigado a família...... BORÔ
ago. de 2022,5,Viagem de lazer,"Ótima ficamos bem a vontade, café da manhã excelente, lugar aconchegante. Tratamento e respeito com educação, acomodações ótimas, chuveiro excelente, jardim lindo para fotos, cozinha a disposição para aquecer água, fazer chá, chimarrão entre outras. Eu índico com certeza"
ago. de 2022,5,Impecável!,"Na recepção já sentimo-nos acolhidos. Limpeza impecável em todos os ambientes. Café da manhã de muito bom gosto e saboroso, excelente localização, silencioso e muito aconchegante. Certeza de que voltaremos!"
ago. de 2022,5,Pousada maravilhosa!,A pousada atendeu todas as nossas necessidades! Fornecendo inclusive berço e banheirinha para nossa bebê. Cama muito confortável! Conseguimos descansar muito bem! Ótima localização e ao mesmo tempo um lugar calmo! O café da manhã é excelente!
ago. de 2022,5,FORMIDÁVEL ❤️,"Perfeita!!! Atendimento, limpeza, equipe, estrutura! Tudo lindo, impecável,de muito bom gosto! A localização é ótima, em um lugar bem calmo e intimista. Senhor Elton nos deu dicas gastronômicas valiosas. Ainda ganhei uma surpresa de noivado cuidadosamente preparada pelo meu noivo e a pousada! E o café da manhã?? Muito bom! Nem somos habituados a tomar café e fazíamos questão de levantar e tomar!! Muita variedade, produtos fresquinhos, todos preparados visivelmente com muito cuidado! Sobre o quarto, escolhemos a ""Suíte Deluxe""; é muito fiel às fotos, enorme, espaçosa, aconchegante, e, lógico, linda! A decoração e disposição dos móveis, um primor! Além de tudo que já pontuei, a pousada conta com uma área externa verde maravilhosa, com fonte, balanço, rede, todos muito harmonizados…"
ago. de 2022,5,Excelente,"Tudo perfeito, principalmente quarto 201, perfeito para momentos especiais em casal. Café da manhã farto e gostoso. Atendimento excelente. Acomodações aconchegantes e bem limpas. Ambiente e áreas compartilhadas muito bonitos."
ago. de 2022,5,Hospedagem em Gramado,"Experiência maravilhosa, todos os funcionários são mto simpáticos em especial a Recepcionista Sabrina, café da manhã da pousada é perfeito tbm, ficamos hospedados 9 diárias e todos os dias foram ótimos!"
ago. de 2022,5,Pousada Borô,"Estadia perfeita, funcionários atenciosos, ambiente agradável, quartos impecáveis, localização privilegiada, me senti como se eu estivesse em uma extensão da minha casa. Recebemos várias dicas de passeio e gastronomia da Sabrina, um doce de pessoa."
ago. de 2022,5,Super recomendado,"Pousada sensacional... a gente foi mto bem recebidos. O café da manhã deles é extraordinário. A limpeza dos quartos foi o q mais me chamou a atenção, quartos limpos todos os dias e pousada muito cheirosa.    A Sabrina da recepção um amor de pessoa.    Do começo ao fim tudo perfeito."
ago. de 2022,5,Um dos melhores que já fiquei!!!,"Atendimento muito bom, educação máxima, nos deram várias dicas e tudo que a gente pedia eles levaram até o quarto, simplesmente maravilhoso! Muito bom o lugar! Difícil sair de lá, da vontade de morar 😂😂"
ago. de 2022,5,Recomendo,"Pousada maravilhosa. Quartos super aconchegantes e organizados, profissionais atenciosos(contam até com manobrista), todo ambiente é muito limpo. Café da manhã maravilhoso, com diversas opções e pratos diferentes. Super recomendo."
ago. de 2022,5,Aniversário de casamento,"Pousada maravilhosa, acolhedora, bem localizada e o atendimento excepcional, café da manhã 👏👏👏👏👏  Parabéns a toda a equipe Boro  Com certeza voltaremos muitas vezes  Ótimo ambiente para casais ou famílias"
ago. de 2022,5,Lugar encantador,"Pousada maravilhosa, amamos nossa estadia. Todos os espaços muito organizados e convidativos, jardim lindo e relaxante, quarto perfeito para onde queríamos voltar depois dos dias de passeio. Café da manhã cheio de delícias. Em todos os momentos, fomos sempre atendidos com muita atenção e cordialidade. Foram dias incríveis que guardaremos com carinho na memória."
ago. de 2022,5,"Ótima pousada, vale a pena!","Fomos bem recebidos, a pousada é bem organizada o café da manhã e ótimo e eles tem boas cervejas artesanais que você pode solicitar pelo telefone da recepção. O quarto era exatamente como na foto, todo a pousada tem aquecimento o que a torna bem aconchegante no inverno."
ago. de 2022,5,Experiência incrível,"A pousada é simplesmente perfeita. Funcionários muito atenciosos, instalações em excelente estado e ambiente agradável. Ótimo para casais e para famílias. Recomendo fortemente e espero voltar assim que possível."
ago. de 2022,5,Lugar encantador,"Ótima opção para casais, com um atendimento encantador prestado pela equipe da pousada. Próximo ao centro de Gramado, mas em local calmo e tranquilo. Tudo que você precisa, para curtir uns dias em Gramado."
ago. de 2022,5,Pousada Borô,"Ótimo local! Funcionários bem educados. Um café da manhã super delicioso. Tem espaço para estacionar o carro. Um bom sistema de calefação, mas que não precisamos utilizar. Fui em julho, mas bastante calor. Fiz uma reserva de Standard, mas me passaram um Deluxe. Fiquei muito surpreso."
ago. de 2022,5,Melhor lugar de gramado ❤️,"Fomos muito bem atendidos desde o momento de cotação até o checkout, o ambiente lá é maravilhoso, tudo muito caprichoso e limpo, café da manhã espetacular, tudo perfeito.  Com certeza super indicaremos pra todos que conhecermos e quando voltarmos ficaremos nela, queria uma pousada borô em todos os locais possíveis hahaha amamos muito! Obrigada!"
ago. de 2022,5,Acolhimento e conforto,"Sabe aquele lugar que vc se sente acolhida? É nessa pousada maravilhosa que superou minhas expectativas!  Quartos muito aconchegantes, e roupas de cama maravilhosas com higiene impecável!  O café da manhã é espetacular com muita variedade!  Com certeza quando voltar em Gramado já tenho lugar certo para me hospedar!!!"
ago. de 2022,5,Pousada Borô,Um encanto de pousada com excelente recepção. Quartos amplos e impecavelmente limpos.  O café da manhã e maravilhoso com ampla variedade!  Quando voltar a Gramado com certeza me hospedo lá!  Super recomendo!
ago. de 2022,5,Maravilhoso,Quartos quentinhos... Mais o q mais me encantou foi a limpeza de tudo desde os quartos recepção tudo. Sempre com cheirinho de limpeza gostoso. Café da manhã maravilhoso quase um café colonial. Quartos aconchegantes. Funcionários queridos e atenciosos principalmente a Sabrina uma querida. Voltaremos com certeza.
ago. de 2022,5,Pousada Boro,"Pousada nota mil, muito cheirosa, tudo muito limpo, quartos excelentes, café da manhã delicioso servido em um lugar maravilhoso, funcionários super atenciosos, preocupados com seu bem estar. Super recomendo."
ago. de 2022,5,"Excelente Pousada.
Recomendo.","A pousada é muito aconchegante, ambiente agradável para se hospedar e passar as férias tanto em casal como em família,tudo bem organizado,limpinho,funcionários atenciosos e simpáticos.  O Café da manhã é delicioso.  Com certeza pensamos em retornar em breve."
ago. de 2022,5,Viagem,Lugar muito agradável ótimo minha família amou  Muito bem recepcionados amamos e com com certeza voltaremos mais vezes ambiente muito limpo bonito jardim bonitos calefacao quarto quentinho chuveiro ótimo
ago. de 2022,5,Ótimo lugar para casal e família,"Pousada Top  Tudo muito limpo, cheiroso, ambiente agradável,  Café maravilhoso, bem servido  Todos funcionários cordiais , tem um pequeno playground para distrair as crianças que meu filho amou  Com certeza voltaremos outras vezes ☺️"
ago. de 2022,5,Uma ótima escolha,"Tudo perfeito desde a chegada.  Equipe da recepção super atenciosa e cordial.  Tudo bem limpinho, organizado e cheiroso.  Café da manhã com muita variedade, tudo gostoso.  As meninas da cozinha também bastante atenciosas. Nada a reclamar!!"
ago. de 2022,5,Super recomendo!,"Ótima estadia, tudo limpo e organizado. Todos simpáticos, ótimo café da manhã, calefação, estacionamento privado e um belo jardim. Em outras visitas na região certamente será uma de nossas primeiras opções."
jul. de 2022,5,Pousada maravilhosa e aconchegante,"Fomos recebidos com toda atenção e durante toda nossa estadia não tivemos nenhum problema. Café da manhã bom, arrumação dos quartos boa, recepção sempre estava a disposição para qualquer informação.  Todos desde dos donos até a a equipe Borô são maravilhosos.  Já estou ansiosa para o meu retorno a pousada."
jul. de 2022,5,Avaliação da pousada boro,"Estamos indo para casa. E já estamos com saudades deste lugar.  O que falar da pousada Boro? Simplesmente maravilhosa, O café da manhã huuuuuuuuum de qualidade, os quartos super limpos, o atendimento então nem se fala todos os funcionários muito bem simpáticos. Só me resta dizer pena que temos que ir.  Quero agradecer o carinho e a hospitalidade, para com minha família, espero que possamos voltar logo."
jul. de 2022,5,A melhor de Gramado.,"Me senti em casa... Cama, quarto, café da manhã e atendimento... Tudo excelente.  Volto com toda certeza.  Nada a reclamar, proprietário sempre presente, funcionários muito educados e solícitos.  Enfim, fiquei muito contente."
jul. de 2022,5,Nota 10!!!!,Excelente. Funcionários educados e prestativos. Café da manhã muito bom e acomodação perfeita. Localização de fácil acesso para as principais atrações de Gramado e Canela. Excelente custo benefício. Voltaremos em breve!!!
jul. de 2022,5,Excelente,"Top, tudo de bom, super indico a pousada. A localização da pousada é muito boa, pousada com uma tranquilidade total, funcionários super educados, quartos tudo limpinhos, o café da manhã uma delícia com uma variedade de opções."
jul. de 2022,4,Pousada familiar,"Hotel familiar, limpeza excelente, acomodações cumprem o que prometem. Quarto espaçoso, arejado. Os funcionários são muito atenciosos, prestativos. O café da manhã é muito bom, variedade de pães e tortas."
jul. de 2022,5,Excepcional,"Todos os colaboradores são amáveis, cuido muito bem da minha esposa que tem intolerância a lactose, fez bolos e pão entre outros mimos. os quartos super confortáveis, cama é maravilhosa e todo o ambiente super agradável. Obrigado por toda hospitalidade! Voltarei em Breve!  Abraço a todos!"
jul. de 2022,5,Top,"Tudo muito bom, atendimento sensacional e além de tudo um ambiente familiar com área para crianças e conforto para todos com um poço falso sensacional espero um dia voltar para desfrutar desse espaço acolhedor"
jul. de 2022,5,conhecendo gramadoooo,"então super bem atendido, aconchegante e de muito bom gosto, capricho e limpeza muito bom café da manha, acabamos ficando em dois quartos pois chagamos um dia antes mas ambos nos surpreenderão super indico"
jul. de 2022,5,Lugar sensacional!!!,"Lugar incrível, muito bem localizado, equipe extremamente gentil e prestativa, quarto aconchegante, recepção sensacional, café da manhã delicioso!!!!! Sem dúvidas, uma excelente escolha para se passar a lua de mel em Gramado!!"
jul. de 2022,5,Ótima,"Perfeito , atenciosos , café ok  , vale muito a pena conhecer a pousada  , estão de parabéns  Limpeza ok  Café ok  Prestativo ok  Indicação de passeios ok  Quartos ok  Wi-Fi ok  Localização ok  Hospitalidade ok"
jul. de 2022,5,Lua de mel de 25 anos de casados,"Foi maravilhoso, a suíte, a recepção, o café , a localização a pousada num todo…  Viajamos para festejar nossas bodas de prata e não poderíamos ter acertado mais na escolha, desse lugar aconchegante e harmonioso!!!!"
jul. de 2022,5,Excelente,"Pousada extremamente aconchegante e bem localizada ( fica entre Canela e Gramado, o que facilita acesso às duas cidades e fica numa rua super calma e silenciosa). Cama ótima, banho super quentinho e café da manhã impecável. Recomendo"
jul. de 2022,5,Excelente,"Tudo perfeito.....Sempre que vou a Gramado procuro esta pousada.... Desde as acomodações aos funcionários tudo excelente, além de estar bem localizada,o café da manhã com muita variedade e ambiente muito tranquilo.Nota 10"
jul. de 2022,5,Aconchego que conquista,"A pousada é uma excelente opção para quem vai em família, especialmente como a minha que são três crianças pequenas. Ficamos na opção ""lareira e jardim"", confortável, limpeza excelente, nos sentimos em casa. Super recomendo."
jul. de 2022,5,Incrível,"Ficamos em 2 quartos, um normal e depois um com hidro, ambos excelentes. O atendimento foi excelente. Funcionários educados e atenciosos. Café da manhã espetacular e as funcionárias que preparavam o café foram muito solicítas e atenciosas."
jul. de 2022,5,Estadia tranquila,"A estadia foi bem tranquila e satisfatória, o local é calmo, bem limpo e muito organizado. Atendimento de primeira, nos indicaram ótimos lugares para ir e aproveitar a viagem a Gramado. Indico para todos a Pousada Borô!"
jul. de 2022,5,perfeito,"Encantada com a pousada, tudo muito lindo, um capricho, cafe da manha delicioso, melhor atendimento, amei o quarto, vontade de fica o dia todo ali no aconchego ja estamos doidos pra voltar.  parabens tudo perfeito"
jul. de 2022,5,Voltarei,"Lugar tranquilo, atendentes cordiais, espaço para tomar um chimarrão, ótima limpeza, café da manhã dentro do esperado, instalações em perfeitas condições, lugar ótimo para passar o fim de semana com a família."
jul. de 2022,4,Muito boa.,"O único ponto negativo é a falta de ducha higiênica, a demais foi tudo perfeito. Muito bom atendimento, funcionários muito educados e solícitos. Café da manhã muito bem servido, excelente localização."
jul. de 2022,5,Pousada deliciosa,"Fomos em família e a estadia super atendeu as nossas expectativas! Pousada limpa, organizada e café da manhã maravilhoso  Além disso, a equipe foi muito solicita e e pousada fica super bem localizada."
